STATUT AMM,STATUT COMMERCIALISATION,SPECIALITE,DOSAGE,FORME,PRESENTATION,PP GN,SUBSTANCE ACTIVE,CLASSE THERAPEUTIQUE,EPI,PPV,PH,PFHT,CODE,TVA,Start of Week 1 Stock,Week 1 Sales,End of Week 1 Stock,Start of Week 2 Stock,Week 2 Sales,End of Week 2 Stock,Start of Week 3 Stock,Week 3 Sales,End of Week 3 Stock,Start of Week 4 Stock,Week 4 Sales,End of Week 4 Stock,Selling Speed,Reorder Point,Shortage
AMM RETIREE,Rertiré du Marché,AMPICILLINE LLORENTE,250 MG,POUDRE POUR SUSPENTION BUVABLE,FLACON DE 60 ML,GN,AMPICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"24,50","15,30","13,63",11,,96,47,49,49,1,48,48,22,26,26,7,19,Slow,20,True
AMM ENREGISTREE,Non Commercialisé,AMPICILLINE LLORENTE,500 MG,GELULE,BOITE DE 12,GN,AMPICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"34,30","21,50","20,44",12,,157,39,118,118,22,96,136,42,94,94,36,58,Fast,40,False
AMM ENREGISTREE,Non Commercialisé,AMPICILLINE LLORENTE,500 MG,GELULE,BOITE DE 24,GN,AMPICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"61,80","38,60","36,80",13,,161,3,158,158,11,147,147,39,108,108,44,64,Medium,30,False
AMM RETIREE,Rertiré du Marché,AMPICILLINE LLORENTE,500 MG,POUDRE POUR PREPARATION INJECTABLE,BOITE DE 1 AMPOULE,GN,AMPICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"9,90","6,20","5,51",14,,105,48,57,57,35,22,68,17,51,51,1,50,Medium,30,False
AMM ENREGISTREE,Commercialisé,BELMAZOL,20 MG,GELULE,BOITE DE 14,GN,OMEPRAZOLE,GASTRO-ENTEROLOGIE,AFRIC PHAR,"45,80","28,60","27,26",15,,135,47,88,115,18,97,97,42,55,55,27,28,Fast,40,True
AMM ENREGISTREE,Commercialisé,BELMAZOL,20 MG,GELULE,BOITE DE 28,GN,OMEPRAZOLE,GASTRO-ENTEROLOGIE,AFRIC PHAR,"89,70","56,10","53,40",16,,147,35,112,112,44,68,68,30,38,38,3,35,Medium,30,False
AMM ENREGISTREE,Commercialisé,BELMAZOL,20 MG,GELULE,BOITE DE 7,GN,OMEPRAZOLE,GASTRO-ENTEROLOGIE,AFRIC PHAR,"21,00","13,10","12,52",17,,79,17,62,104,28,76,76,24,52,52,3,49,Slow,20,False
AMM ENREGISTREE,Commercialisé,BEMAG,500 MG / 125 MG,SOLUTION BUVABLE,BOITE DE 20 AMPOULE DE 10 ML,GN,MAGNESIUM (GLYCEROPHOSPHATE) // PYRIDOXINE (CHLORHYDRATE),VITAMINES,AFRIC PHAR,"39,10","24,40","23,25",18,,165,48,117,117,13,104,104,40,64,110,6,104,Medium,30,False
AMM ENREGISTREE,Non Commercialisé,BIODROXIL,1000 MG,COMPRIME ENROBE,BOITE DE 12,GN,CEFADROXIL,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"143,00","89,40","85,11",19,,78,25,53,53,27,26,26,19,7,7,2,5,Slow,20,True
AMM ENREGISTREE,Non Commercialisé,BIODROXIL,125 MG / 5 ML,GRANULE POUR SUSPENSION ORALE,FLACON DE 45 G,GN,CEFADROXIL,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"24,10","15,10","14,35",20,,114,8,106,145,20,125,125,9,116,116,0,116,Very Slow,10,False
AMM ENREGISTREE,Non Commercialisé,BIODROXIL,250 MG / 5 ML,GRANULE POUR SUSPENSION ORALE,FLACON DE 45 G,GN,CEFADROXIL,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"42,90","26,80","25,53",21,,153,32,121,121,45,76,121,48,73,73,22,51,Fast,40,False
AMM ENREGISTREE,Non Commercialisé,BIODROXIL,500 MG,GELULE,BOITE DE 12,GN,CEFADROXIL,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"71,50","44,70","42,56",22,,57,40,17,17,4,13,51,8,43,43,5,38,Slow,20,False
AMM ENREGISTREE,Commercialisé / AO,BIOMOX,1 G,COMPRIME DISPERSIBLE,BOITE DE 12,GN,AMOXICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"51,40","32,10","30,59",23,,142,12,130,130,4,126,126,7,119,167,3,164,Very Slow,10,False
AMM ENREGISTREE,Commercialisé / AO,BIOMOX,1 G,COMPRIME DISPERSIBLE,BOITE DE 24,GN,AMOXICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"90,40","56,50","53,83",24,,101,23,78,78,33,45,75,28,47,47,12,35,Medium,30,False
AMM ENREGISTREE,Commercialisé / AO,BIOMOX,250 MG,POUDRE POUR SUSPENSION BUVABLE,FLACON DE 100 ML,GN,AMOXICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"31,40","19,60","18,72",25,,179,40,139,139,46,93,93,35,58,83,4,79,Fast,40,False
AMM ENREGISTREE,Commercialisé / AO,BIOMOX,250 MG,SUSPENSION BUVABLE,FLACON DE 60 ML,GN,AMOXICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"21,90","13,70","13,05",26,,173,31,142,162,16,146,146,26,120,120,19,101,Medium,30,False
AMM ENREGISTREE,Commercialisé / AO,BIOMOX,500 MG,GELULE,BOITE DE 12,GN,AMOXICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"32,30","20,20","19,24",27,,183,9,174,174,33,141,141,44,97,97,0,97,Medium,30,False
AMM ENREGISTREE,Commercialisé / AO,BIOMOX,500 MG,GELULE,BOITE DE 24,GN,AMOXICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"56,90","35,50","33,86",28,,69,2,67,67,33,34,62,9,53,53,23,30,Slow,20,False
AMM ENREGISTREE,Commercialisé,BROMAX,"15 MG / 5 ML (0,30%)",SOLUTION BUVABLE,FLACON DE 200 ML,GN,AMBROXOL,PNEUMOLOGIE,AFRIC PHAR,"27,10","16,90","16,13",29,,59,6,53,53,6,47,47,21,26,26,1,25,Very Slow,10,False
AMM ENREGISTREE,Commercialisé,BROMAX,"30 MG / 5 ML (0,6%)",SOLUTION BUVABLE,FLACON DE 200 ML,GN,AMBROXOL,PNEUMOLOGIE,AFRIC PHAR,"30,80","19,30","18,36",30,,82,36,46,46,18,28,28,12,16,16,16,0,Medium,30,True
AMM ENREGISTREE,Non Commercialisé,BRONCOTEC,12 µG,GELULE POUR INHALATION,BOITE DE 20,GN,FORMOTEROL (FUMARATE),PNEUMOLOGIE,ATLAS PHARM,"84,60","52,90","50,36",31,,171,12,159,159,44,115,115,22,93,118,43,75,Fast,40,False
AMM ENREGISTREE,Non Commercialisé,BRONCOTEC,12 µG,GELULE POUR INHALATION,BOITE DE 30,GN,FORMOTEROL (FUMARATE),PNEUMOLOGIE,ATLAS PHARM,"123,80","77,40","73,69",32,,179,25,154,154,29,125,125,4,121,121,8,113,Slow,20,False
AMM ENREGISTREE,Commercialisé,BUDENA,100 MCG,AEROSOL NASAL,FLACON DE 200 DOSES,GN,BUDESONIDE,ALLERGOLOGIE,AFRIC PHAR,"139,20","87,00","82,88",33,,55,25,30,30,11,19,19,15,4,4,1,3,Slow,20,True
AMM ENREGISTREE,Commercialisé,BUDENA,200 MCG,AEROSOL,FLACON DE 200 DOSES,GN,BUDESONIDE,PNEUMOLOGIE,AFRIC PHAR,"234,00","146,20","139,29",34,,63,31,32,32,23,9,9,1,8,8,6,2,Slow,20,True
AMM ENREGISTREE,Commercialisé / AO,BUDENA,64 µG / DOSE,SUSPENSION POUR PELVERISATION NASALE,FLACON DE 120 DOSES,GN,BUDESONIDE,ALLERGOLOGIE,AFRIC PHAR,"67,90","42,40","40,41",35,,122,10,112,112,9,103,103,2,101,101,20,81,Slow,20,False
AMM ENREGISTREE,Commercialisé,CATEX,250 MG,COMPRIME,BOITE DE 10,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"51,40","32,10","30,60",36,,131,48,83,83,35,48,68,33,35,35,3,32,Medium,30,False
AMM ENREGISTREE,Commercialisé,CATEX,250 MG,COMPRIME,BOITE DE 20,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"90,50","56,50","53,85",37,,158,22,136,136,13,123,123,40,83,83,11,72,Medium,30,False
AMM ENREGISTREE,Commercialisé,CATEX,500 MG,COMPRIME,BOITE DE 10,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"74,80","46,70","44,50",38,,57,44,13,13,6,7,7,1,6,6,2,4,Slow,20,True
AMM ENREGISTREE,Commercialisé,CATEX,500 MG,COMPRIME,BOITE DE 20,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"131,60","82,20","78,32",39,,144,19,125,156,46,110,110,16,94,94,44,50,Fast,40,False
AMM ENREGISTREE,Commercialisé / AO,CATEX,750 MG,COMPRIME,BOITE DE 10,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"131,00","81,90","218,86",40,,77,40,37,37,31,6,6,4,2,2,1,1,Slow,20,True
AMM ENREGISTREE,Commercialisé / AO,CATEX,750 MG,COMPRIME,BOITE DE 20,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"470,00","312,00","297,98",41,,53,32,21,21,16,5,37,4,33,33,0,33,Slow,20,False
AMM ENREGISTREE,Non Commercialisé,CELLUVISC,"4 MG / 0,4 ML",COLLYRE RECIPIENT UNIDOSE,BOITE DE 30,PP,CARMELLOSE (SODIQUE),OPHTALMOLOGIE,AFRIC PHAR,"41,50","25,90","24,70",42,,92,19,73,73,32,41,41,7,34,34,19,15,Slow,20,True
AMM ENREGISTREE,Commercialisé,CETIRAL,1 MG / ML,SOLUTION BUVABLE,FLACON DE 60 ML,GN,CETIRIZINE (DICHLORHYDRATE),ALLERGOLOGIE,AFRIC PHAR,"25,60","16,00","15,25",43,,94,11,83,105,46,59,59,0,59,59,5,54,Slow,20,False
AMM ENREGISTREE,Commercialisé,CETIRAL,10 MG,COMPRIME PELLICULE,BOITE DE 15,GN,CETIRIZINE (DICHLORHYDRATE),ALLERGOLOGIE,AFRIC PHAR,"42,80","26,70","25,47",44,,131,4,127,127,25,102,129,13,116,116,7,109,Slow,20,False
AMM ENREGISTREE,Commercialisé / AO,CHEMOSET,2 MG / ML,SOLUTION INJECTABLE,BOITE DE 5 AMPOULE DE 2 ML,GN,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE-HEMATOLOGIE,AFRIC PHAR,"269,00","179,30","170,75",45,,59,36,23,23,22,1,1,0,1,25,1,24,Slow,20,False
AMM ENREGISTREE,Commercialisé,CHEMOSET,2 MG / ML,SOLUTION INJECTABLE,BOITE DE 5 AMPOULE DE 4 ML,GN,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE-HEMATOLOGIE,AFRIC PHAR,"511,00","340,00","323,83",46,,74,22,52,52,7,45,71,7,64,64,5,59,Slow,20,False
AMM RETIREE,Rertiré du Marché,CHEMOSET,4 MG,COMPRIME PELLICULE,BOITE DE 1,GN,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE-HEMATOLOGIE,AFRIC PHAR,"22,00","13,70","12,24",47,,168,20,148,148,50,98,134,40,94,94,24,70,Fast,40,False
AMM ENREGISTREE,Commercialisé / AO,CHEMOSET,4 MG,COMPRIME PELLICULE,BOITE DE 10,GN,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE-HEMATOLOGIE,AFRIC PHAR,"175,70","109,80","104,58",48,,89,9,80,124,6,118,118,7,111,111,14,97,Very Slow,10,False
AMM ENREGISTREE,Commercialisé / AO,CHEMOSET,4 MG,COMPRIME PELLICULE,BOITE DE 5,GN,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE-HEMATOLOGIE,AFRIC PHAR,"91,60","57,20","54,52",49,,96,39,57,57,25,32,32,7,25,25,0,25,Slow,20,False
AMM RETIREE,Rertiré du Marché,CHEMOSET,8 MG,COMPRIME PELLICULE,BOITE DE 1,GN,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE-HEMATOLOGIE,AFRIC PHAR,"39,00","24,30","21,70",50,,197,23,174,174,6,168,168,33,135,135,1,134,Slow,20,False
AMM ENREGISTREE,Commercialisé,CHEMOSET,8 MG,COMPRIME PELLICULE,BOITE DE 10,GN,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE-HEMATOLOGIE,AFRIC PHAR,"333,00","221,00","211,37",51,,76,18,58,58,35,23,44,5,39,39,9,30,Slow,20,False
AMM RETIREE,Rertiré du Marché,CHEMOSET,8 MG,COMPRIME PELLICULE,BOITE DE 5,GN,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE-HEMATOLOGIE,AFRIC PHAR,"188,00","117,10","104,58",52,,89,24,65,65,0,65,65,43,22,22,6,16,Slow,20,True
AMM ENREGISTREE,Commercialisé,CICLOVIRAL,"0,05",CREME,TUBE DE 10 G,GN,ACICLOVIR,DERMATOLOGIE,AFRIC PHAR,"38,90","24,30","23,19",53,,96,15,81,81,20,61,61,9,52,52,1,51,Slow,20,False
AMM ENREGISTREE,Commercialisé,CICLOVIRAL,200 MG,COMPRIME,BOITE DE 25,GN,ACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"91,10","56,90","54,24",54,,52,48,4,4,3,1,34,0,34,34,0,34,Slow,20,False
AMM ENREGISTREE,Commercialisé,CICLOVIRAL,250 MG,POUDRE LYOPHILISEE + SOLVANT,BOITE DE 5 FLACONS,GN,ACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"628,00","417,00","397,61",55,,63,42,21,21,7,14,14,14,0,0,0,0,Slow,20,True
AMM ENREGISTREE,Commercialisé,CICLOVIRAL,400 MG / 5 ML,SUSPENSION BUVABLE,FLACON DE 100 ML,GN,ACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"186,90","116,80","111,26",56,,73,37,36,36,8,28,28,23,5,5,1,4,Slow,20,True
AMM ENREGISTREE,Commercialisé,CICLOVIRAL,400 MG,COMPRIME,BOITE DE 25,GN,ACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"242,00","151,90","144,63",57,,161,18,143,143,48,95,95,47,48,87,36,51,Fast,40,False
AMM ENREGISTREE,Commercialisé,CICLOVIRAL,800 MG,COMPRIME,BOITE DE 12,GN,ACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"247,00","154,80","147,42",58,,50,45,5,5,0,5,43,3,40,40,1,39,Slow,20,False
AMM ENREGISTREE,Commercialisé,CICLOVIRAL,800 MG,COMPRIME,BOITE DE 25,GN,ACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"469,00","312,00","297,34",59,,174,44,130,130,13,117,117,17,100,100,33,67,Medium,30,False
AMM ENREGISTREE,Commercialisé,CLOMITER,"0,01",CREME,TUBE DE 30 G,GN,CLOTRIMAZOLE,DERMATOLOGIE,AFRIC PHAR,"27,70","17,30","16,52",60,,168,18,150,150,47,103,149,47,102,102,37,65,Fast,40,False
AMM ENREGISTREE,Commercialisé,CLOMITER,"0,01",SOLUTION TOPIQUE,FLACON DE 30 ML,GN,CLOTRIMAZOLE,DERMATOLOGIE,AFRIC PHAR,"27,00","16,90","16,08",61,,168,23,145,188,16,172,172,24,148,148,5,143,Slow,20,False
AMM ENREGISTREE,Commercialisé,CO-IRVEL,"150 MG / 12,5 MG",COMPRIME PELLICULE,BOITE DE 14,GN,"IRBESARTAN
 // HYDROCHLOROTHIAZIDE",CARDIOLOGIE ET ANGEIOLOGIE,AFRIC PHAR,"69,50","43,40","41,39",62,,98,34,64,64,43,21,21,7,14,14,11,3,Medium,30,True
AMM ENREGISTREE,Commercialisé,CO-IRVEL,"150 MG / 12,5 MG",COMPRIME PELLICULE,BOITE DE 28,GN,"IRBESARTAN
 // HYDROCHLOROTHIAZIDE",CARDIOLOGIE ET ANGEIOLOGIE,AFRIC PHAR,"134,50","83,00","79,96",63,,130,16,114,114,8,106,106,48,58,58,48,10,Medium,30,True
AMM RETIREE,Rertiré du Marché,CO-IRVEL,"150 MG / 12,5 MG",COMPRIME PELLICULE,BOITE DE 7,GN,"IRBESARTAN
 // HYDROCHLOROTHIAZIDE",CARDIOLOGIE ET ANGEIOLOGIE,AFRIC PHAR,"39,50","24,70","23,52",64,,98,16,82,82,11,71,71,18,53,53,50,3,Medium,30,True
AMM ENREGISTREE,Commercialisé,CO-IRVEL,"300 MG / 12,5 MG",COMPRIME PELLICULE,BOITE DE 14,GN,"IRBESARTAN
 // HYDROCHLOROTHIAZIDE",CARDIOLOGIE ET ANGEIOLOGIE,AFRIC PHAR,"85,00","53,10","50,60",65,,116,48,68,68,30,38,77,20,57,57,10,47,Medium,30,False
AMM ENREGISTREE,Commercialisé,CO-IRVEL,"300 MG / 12,5 MG",COMPRIME PELLICULE,BOITE DE 28,GN,"IRBESARTAN
 // HYDROCHLOROTHIAZIDE",CARDIOLOGIE ET ANGEIOLOGIE,AFRIC PHAR,"158,00","98,70","94,05",66,,80,33,47,47,39,8,8,4,4,38,1,37,Slow,20,False
AMM RETIREE,Rertiré du Marché,CO-IRVEL,"300 MG / 12,5 MG",COMPRIME PELLICULE,BOITE DE 7,GN,"IRBESARTAN
 // HYDROCHLOROTHIAZIDE",CARDIOLOGIE ET ANGEIOLOGIE,AFRIC PHAR,"42,50","26,50","25,29",67,,83,25,58,58,45,13,13,1,12,12,10,2,Medium,30,True
AMM ENREGISTREE,Commercialisé,COMBIGAN,2 MG / ML + 5 MG / ML,COLLYRE,FLACON DE 5 ML,PP,BRIMONIDINE (TARTRATE) // TIMOLOL MALEATE,OPHTALMOLOGIE,AFRIC PHAR,"169,70","106,00","100,99",68,,66,21,45,45,18,27,27,16,11,11,7,4,Slow,20,True
AMM ENREGISTREE,Commercialisé / AO,CORTIVENT,250 µG / DOSE,SUSPENSION POUR INHALATION BUCCALE,FLACON DE 200 DOSES,GN,BECLOMETHASONE,PNEUMOLOGIE,AFRIC PHAR,"86,50","54,00","51,48",69,,115,38,77,77,15,62,62,11,51,86,9,77,Slow,20,False
AMM ENREGISTREE,Commercialisé / AO,CORTIVENT,50 µG / DOSE,SUSPENSION POUR INHALATION BUCCALE,FLACON DE 200 DOSES,GN,BECLOMETHASONE,PNEUMOLOGIE,AFRIC PHAR,"55,00","34,40","32,74",70,,99,33,66,66,1,65,65,50,15,40,0,40,Medium,30,False
AMM ENREGISTREE,Non Commercialisé,CORTOFTAL,0,COLLYRE,FLACON DE 5 ML,PP,CLOBETASONE (BUTYRATE),OPHTALMOLOGIE,AFRIC PHAR,"22,90","14,30","13,63",71,,139,14,125,125,32,93,93,0,93,93,46,47,Medium,30,False
AMM ENREGISTREE,Non Commercialisé,COSMOFER,50 MG / ML,SOLUTION INJECTABLE IV-IM,BOITE DE 5 AMPOULE DE 2 ML,PP,HYDROXYDE (FERRIQUE),HEMATOLOGIE ET HEMOSTASE,AFRIC PHAR,"288,00","191,50","182,43",72,,163,6,157,157,27,130,130,2,128,152,11,141,Slow,20,False
AMM ENREGISTREE,Commercialisé,CO-TANZAAR,100 MG / 25 MG,COMPRIME PELLICULE,BOITE DE 14,GN,LOSARTAN // HYDROCHLOROTHIAZIDE,CARDIOLOGIE ET ANGEIOLOGIE,AFRIC PHAR,"79,40","49,60","47,27",73,,146,19,127,175,12,163,163,15,148,148,0,148,Slow,20,False
AMM ENREGISTREE,Commercialisé,CO-TANZAAR,100 MG / 25 MG,COMPRIME PELLICULE,BOITE DE 28,GN,LOSARTAN // HYDROCHLOROTHIAZIDE,CARDIOLOGIE ET ANGEIOLOGIE,AFRIC PHAR,"139,70","87,30","83,19",74,,193,20,173,173,9,164,164,50,114,114,32,82,Medium,30,False
AMM ENREGISTREE,Commercialisé,CO-TANZAAR,"50 MG / 12,5 MG",COMPRIME PELLICULE,BOITE DE 14,GN,LOSARTAN // HYDROCHLOROTHIAZIDE,CARDIOLOGIE ET ANGEIOLOGIE,AFRIC PHAR,"60,60","37,90","36,10",75,,79,46,33,33,24,9,9,7,2,2,2,0,Slow,20,True
AMM ENREGISTREE,Commercialisé,CO-TANZAAR,"50 MG / 12,5 MG",COMPRIME PELLICULE,BOITE DE 28,GN,LOSARTAN // HYDROCHLOROTHIAZIDE,CARDIOLOGIE ET ANGEIOLOGIE,AFRIC PHAR,"106,70","66,70","63,53",76,,96,14,82,82,26,56,56,29,27,27,16,11,Medium,30,True
AMM ENREGISTREE,Non Commercialisé,CUSICROM,"0,04",COLLYRE,FLACON DE 10 ML,GN,CROMOGLICATE DE SODIUM,OPHTALMOLOGIE,AFRIC PHAR,"34,60","21,60","20,58",77,,162,50,112,112,4,108,108,30,78,78,48,30,Fast,40,True
AMM ENREGISTREE,Non Commercialisé,CUSICROM NASALE,"0,04",SOLUTION NASALE,FLACON DE 15 ML,GN,CROMOGLICATE DE SODIUM,ALLERGOLOGIE,AFRIC PHAR,"34,30","21,40","20,42",78,,136,32,104,104,0,104,128,10,118,118,5,113,Slow,20,False
AMM ENREGISTREE,Non Commercialisé,CUSIMOLOL,"0,0025",COLLYRE,FLACON DE 5 ML,GN,TIMOLOL (MALEATE),OPHTALMOLOGIE,AFRIC PHAR,"32,60","20,40","19,41",79,,73,10,63,63,6,57,57,39,18,18,5,13,Slow,20,True
AMM ENREGISTREE,Non Commercialisé,CUSIMOLOL,"0,005",COLLYRE,FLACON DE 5 ML,GN,TIMOLOL (MALEATE),OPHTALMOLOGIE,AFRIC PHAR,"37,70","23,50","22,42",80,,167,0,167,167,0,167,167,22,145,145,23,122,Slow,20,False
AMM ENREGISTREE,Non Commercialisé,CUSIVIRAL,"0,03",POMMADE OPHTALMIQUE,"TUBE DE 4,5 G",GN,ACICLOVIR,OPHTALMOLOGIE,AFRIC PHAR,"79,70","49,80","47,45",81,,143,22,121,121,30,91,91,3,88,114,44,70,Medium,30,False
AMM RETIREE,Rertiré du Marché,CUSIVIRAL,"0,05",POMMADE,TUBE DE 15 G,GN,ACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"183,60","114,40","102,14",82,,112,14,98,98,33,65,65,42,23,51,22,29,Medium,30,True
AMM RETIREE,Rertiré du Marché,CUSIVIRAL,"0,05",POMMADE,TUBE DE 2 G,GN,ACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"35,70","22,20","19,86",83,,80,38,42,42,41,1,1,0,1,1,0,1,Slow,20,True
AMM ENREGISTREE,Non Commercialisé,DECLOBAN,"0,0005",POMMADE,TUBE DE 15 G,GN,CLOBETASOL (PROPIONATE),DERMATOLOGIE,AFRIC PHAR,"19,10","11,90","11,35",84,,153,13,140,140,4,136,166,4,162,162,3,159,Very Slow,10,False
AMM ENREGISTREE,Non Commercialisé,DECLOBAN,"0,0005",POMMADE,TUBE DE 30 G,GN,CLOBETASOL (PROPIONATE),DERMATOLOGIE,AFRIC PHAR,"28,60","17,90","17,02",85,,97,16,81,123,1,122,122,16,106,106,2,104,Very Slow,10,False
